Report	Description	Product	Report Analyst	Associated ask channel	Category	Support Domain	key	Product Requirement	Rank	Product PM	Associated Product	Associated Suite	Assignment Confident Level
ProspectPortal Traffic	The ProspectPortal Traffic Report will show statistics regarding website traffic. The report uses a paid Google Analytic subscription to pull the data. All column definitions are taken from the Google Analytics website.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Marketing	Reports	prospectportal_traffic	Entrata Core, ProspectPortal, ResidentPortal, ResidentPay, Client Admin, LobbyDisplay, API Services, Entrata Company Website, Gmail Email, Vacancy com, Check Scanning, PM Software Integration, ILS Portal, Blog, Payment Processing, LeaseExecution, Message Center, Craigslist Posting, SiteTablet, CallTracking, Facebook Integration, ResidentUtility, Renters Insurance, Custom Development, Revenue Intelligence with Consulting, LeadManager, Print Brochure, Leasing Center, ParcelAlert, CallAnalysis, Paid Ad Services, ResidentVerify, Marketing Templates, Lead Alert, InspectionManager, Entrata PaaS, Entrata Affordable, Domain Management, VendorAccess, Facilities Management, Invoice Processing, Entrata Tablet, AdminSync, ReputationAdvisor, Data Fix, ResidentSupport Premium, Utility Expense Management			ProspectPortal	N/A	
Publishing History	The Publishing History report gives clients the ability to see the publishing history for the Entrata Pricing tool, allowing them to see who priced it, what change was made, why that change was made, and when the change was made.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Pricing	Reports	publishing_history	Revenue Intelligence with Consulting, Student Revenue Intelligence with Consulting			Entrata Pricing	N/A	
Publishing History (Student)	The Publishing History report gives clients the ability to see the publishing history for the Entrata Pricing tool, allowing them to see who priced it, what change was made, why that change was made, and when the change was made.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Pricing	Reports	publishing_history_(student)	Revenue Intelligence with Consulting, Student Revenue Intelligence with Consulting			Student Pricing	N/A	
Purchase Order Details	The Purchase Order Details report provides a summarized information on purchase orders as well as details for each line item on the purchase order. This report allows you to review purchase orders for approval and other purposes.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	purchase_order_details	Entrata Core			Financial Operations - Invoices	Property Ops Experience	
Quarterly Income Statement	The Quarterly Income Statement gives you a view of how your property is performing in respect to your budget over a quarter.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	quarterly_income_statement	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Quarterly Occupancy By Unit Type	This report will allow clients that have military properties to see detailed information on the occupancy rate by unit type on a quarterly basis. Currently, only clients that have access to the military product can use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	quarterly_occupancy_by_unit_type	Entrata Military			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
Quarterly Offline Units	This report will provide a detailed look of units that are currently offline or in a 'down' status. Currently, only clients that have access to the military product can use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	quarterly_offline_units	Entrata Military			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
Quarterly Security Deposits	This report will provide detailed information regarding all resident security and pet deposits that have been posted during the selected date range. Currently, only clients that have Entrata Core and the military product can use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	quarterly_security_deposits	Entrata Military			Resident Operations - Sub-Vertical - Military	Property Ops Experience	
Reasonable Accommodations	We're creating the 'Reasonable Accommodations' report to allow property managers the ability to track who has an exception to a policy. This report will help with any follow up to a policy expiring and provides key metrics relating to policy accommodations.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	reasonable_accommodations	No Product Requirement			Resident Operations - Workflows	Property Ops Experience	
Receipts By Charge Codes	The receipts by charge code report displays resident receipts collected within the current post month by the charge codes that the receipts were applied to. It also lists any prior post month receipts that are allocated to charges within the current post month. The report is useful for analyzing how resident receipts are allocated to charges.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	receipts_by_charge_code	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Recurring Charges Forecast	This report will provide you with a forward-looking overview of the recurring charges that have been setup. This will allow you to verify what will be billed to each resident/household for the current and future month(s).	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	recurring_charges_forecast	Entrata Core			Financial Operations - Billing	Property Ops Experience	
Recurring Invoices	The Recurring Invoices report provides a list of all of the active and scheduled recurring invoices created within the Vendor Profile>>Financial>>Recurring Transactions tab.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	recurring_invoices	Entrata Core			Financial Operations - Vendors	Property Ops Experience	
Recurring Payments	The Recurring Payments report will show a summary of recurring payments that have been set up by the property and residents. It will show payment details and will allow you to filter by active, deleted, or all recurring payments.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	recurring_payments	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Reimbursable Expense Pools	This report allows the user to see and download information regarding Entrata Commercial's Reimbursable Expense Pools product found under Residents >> Tenants >> Tools >> Reimbursable Expense Pools	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	reimbursable_expense_pools	Entrata Core, Entrata Commercial			Financial Operations - Billing	Property Ops Experience	
Renewals and Offers	This report will combine the Renewal Offers and Renewals report to offer a single comprehensive report allowing you to be able to efficiently manage households going through the renewal process or identify those households who have renewed.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	renewals_and_offers	No Product Requirement			Resident Operations - Mid-Lease Modifications	Property Ops Experience	
Rent Roll	The <strong>Rent Roll</strong> report provides a high-level overview of the rent and transactional impact for all units within the property as well as various statistical information regarding rents across unit types, lease status, and transaction code summary breakdown.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	rent_roll1_0	Entrata Core	1-5			N/A	
Rent Roll (Charge Code)	The Rent Roll (Charge Code) report provides a high-level overview of the rent and transactional impact for all units within the property as well as various statistical information regarding rents across unit types, lease status, and transaction code summary breakdown.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	rent_roll_(charge_code)	Entrata Core					
Rent Roll Non Core	Rent Roll Non Core	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	rent_roll_non_core	No Product Requirement				N/A	
Rent Variance	Shows visibility if leases are being executed by the amount dictated by Revenue Management or market rent for the unit/unit type. Currently, only clients that have Entrata Core can access and use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	rent_variance	No Product Requirement				N/A	
Rentable Items	Rentable Items Report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	rentable_items	Entrata Core			Asset Operations - Configurations	Property Ops Experience	
Rentable Items Availability	This report will provide you with the ability to quickly identify which rentable items are available to be rented to potential residents.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	rentable_items_availability	No Product Requirement			Asset Operations - Configurations	Property Ops Experience	
Rental History Watchlist	The Rental History Watchlist will give clients an opportunity to see prospects who have applied or leased at other properties within the company and have been deemed not suited to rent to.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	rental_history_watchlist	ResidentVerify			Entrata Affordable	N/A	
Report Directory	This report will allow clients to get a full list of reports along with the general description and other basic details.  This will make reviewing what reports Entrata offers much more efficiently to the end-user.	Reports Framework	Brigham Shipley	#ask-reporting-framework	System	Reports	report_directory	No Product Requirement				N/A	
Report Download Activity	Shows reports that have been downloaded, as well as the users and the times that they were downloaded.	Reports Framework	Brigham Shipley	#ask-reporting-framework	System	Reports	report_download_activity	No Product Requirement				N/A	
Report Packets Delivery	This report will provide the details of the packet(s) and if all the recipients of the packet(s) received the emails with an attachment for a given date.	Reports Framework	Brigham Shipley	#ask-reporting-framework	System	Reports	report_packets_delivery	No Product Requirement				N/A	
Reporting Mask Associations	The reporting Mask Associations report displays each account in the Income Statement (or Balance Sheet) and which accounts on the selected Child GL Tree are associated to them.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	account_tree_mapping	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Reputation Advisor Summary	The <strong>Reputation Advisor Summary</strong> report provides a high-level overview of reviews and ratings received in a given period.  This includes counts and percentages of overall reviews, ratings, and recommendations.  The metrics in this report are designed to match the Reputation Dashboard (Tools >> Reputation >> Dashboard) when run for the same properties, period, and sources.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	reputation_advisor_summary	No Product Requirement			ReputationAdvisor	N/A	
Resident Aged Receivables	This report will provide you with details on unpaid/delinquent amounts, showing the aging of those unpaid portions in order to determine how past due each unpaid charge is.  This report is designed for the accounting side of users and will match the Accounts Receivable GL account(s).	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_aged_receivables	Entrata Core	6-10		Financial Operations - Revenue Protection	Property Ops Experience	
Resident Animals	This report provides information on your resident's pets, allowing users you track pets within the property. Currently, this report requires the Entrata Core product in order to access and use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	resident_animals	No Product Requirement			Resident Operations - Workflows	Property Ops Experience	
Resident Balances	The Resident Balances report provides a summary look at how a household's balance is affected throughout a specific period by providing beginning balances, any charges and credits posted during the period and then the net ending balance of the period for each lease.  The report also provides a similar look at the deposit side of the lease.  This report can also include similar information for your Other Income (Non-Resident) accounts.  If there is no balance activity for the selected period, then the resident will not be shown.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_balances	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Resident Bill Variance	The Resident Bill Variance report will show you the variance between the low, high and average utility costs.	Utilities Expense Recapture	Jeanine Miller	#ask-utilities-expense-recapture	Utilities	Reports	resident_bill_variance	ResidentUtility				N/A	
Resident Birthdays	This report allows you to pull a list of all residents within your properties that have birthdays within a specified period. The report also provides basic details for each resident making it easier to send various related forms of communication to them.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	resident_birthdays	No Product Requirement			Resident Operations - Workflows	Property Ops Experience	
Resident Charges	The Resident Charges report allows you to see details on charges that were posted to your residents' ledgers during a defined period of time.  This allows you to validate that all the necessary charges have been posted each month.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_charges	Entrata Core	11-20		Financial Operations - Customer Transactions	Property Ops Experience	
Resident Data	The Resident Data report allows you to create a customized report by giving you the option to pick and choose from specific resident-level data points (columns) that you wish to report on.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	resident_data	No Product Requirement	11-20		Resident Operations - Workflows	Property Ops Experience	
Resident Demographics	This report will provide you with various demographic data that relates to the residents that are currently residing at the property.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	resident_demographics	No Product Requirement			Resident Operations - Workflows	Property Ops Experience	
Resident Deposit Audit	The Resident Deposit Audit report is used to identify total deposits held and charged on a per resident basis.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_deposit_audit	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Resident Deposit Refunds	The Resident Deposit Refunds report will display all past residents whose deposit was refunded during a set period of time.  This allows you to validate and reconcile all deposit refunds that have occurred.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_deposit_refunds	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Resident Deposit Summary	The Resident Deposit Summary report enables you to view each resident indicating what has been charged compared to what has been paid for all or specific security deposit charge codes.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_deposit_summary	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Resident Document Transfer	The Migrations - Resident Document Transfer Report will help in validating how many documents have been transferred. This tool will be used to validate when the PDM Tools Document Transfer call is used.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Migrations	Reports	resident_document_transfer	No Product Requirement			DocEx	Leasing	
Resident Guests	This report will provide the user with information regarding guests that are staying temporarily with residents in the selected property.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	resident_guests	Entrata Core, ResidentPortal			Resident Portal	Resident XP	
Resident Ledger	This report will allow you to generate the full ledger for residents. This can be useful when generating statements towards residents, ledger audits, or when needed for eviction or collection purposes.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_ledger	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Resident Portal Traffic	This report provides you with high-level information concerning various key resident portal traffic data points. This report will provide information pertaining to leases, emails, resident enrolled in Resident Portal, work orders, different payment types, etc. for all units within selected properties. Currently, all clients (core and integrated) can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	resident_portal_traffic	No Product Requirement			Resident Portal	Resident XP	
Resident Receipts	The purpose of this report is to allow you to reconcile payments submitted by residents and their corresponding bank deposits (if applicable) to determine that all payments have been submitted and processed accordingly.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_receipts	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Resident Referrals	This report provides a list of all leads who have been referred by residents of the selected properties.  The report will show information on the lead, the resident who submitted the referral, and the referral.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	resident_referrals	No Product Requirement			Resident Portal	Resident XP	
Resident Repayment Agreements	The Resident Repayment Agreements report provide you a list of all residents who have active repayment agreements, for the selected report period, along with the current details of those agreements.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_repayment_agreements	Entrata Core			Financial Operations - Revenue Protection	Property Ops Experience	
Resident Retention	The Resident Retention Report allows you to track and manage expiring leases. It uses a period filter to pull in all leases with a lease end date in the period selected and will display those leases in 6 categories based on the projected (for future months) or historical (for prior months) next step. Those six categories are early move-outs, NTV, Renewals, Renewal Transfers, Pending, and MTM. Common uses of this report are to follow-up on Pending Residents and to reward staff based on retention percentages. This report also has a detailed view showing one resident per line.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	resident_retention	No Product Requirement	21-30		Resident Operations - Mid-Lease Modifications	Property Ops Experience	
Resident Utility Billing Details	The Resident Utility Billing Details report shows details pertaining to residents utility bills.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	resident_utility_billing_details	ResidentUtility			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Resident Write-offs	The Resident Write-offs report will provide you with a list of write-off transactions that were posted during a selected period/range of time.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	resident_write_offs	Entrata Core			Financial Operations - Revenue Protection	Property Ops Experience	
Retention History	This report provides a history of all retained amounts, retention released, and outstanding retention for a vendor.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	retention_history	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Revenue Performance Analysis	The Revenue Performance Analysis report shows an overall view of how a specific property is performing regarding pricing. The performance numbers are broken up between new leases, renewal leases, and an executive analysis. This report gives values such as rent per executed sqft and average vacant days to help guide pricing decisions. Please Note: This report requires your company to use Revenue Management product to be able to access this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Pricing	Reports	revenue_performance_analysis	Revenue Intelligence					
Review Activity	This report will give an overview of the activity that the property has undergone regarding reviews; specifically, if the property has read the reviews, replied to them, or if the reviews are still unread and haven't been replied to. Currently, only clients that have the reputation advisor product can access and use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	review_activity	No Product Requirement			Marketing Strategy Hub	Marketing	
Review Attributes	This report will allow you to be able to generate a report showing summary review information specifically focusing on the positive/negative attributes that were given during the reviews of the given period. Currently, only clients that have the Reputation Advisor will be able to use the report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	review_attribute	ReputationAdvisor			Marketing Strategy Hub	Marketing	
Reviews	The Reviews report allows you to view reviews that have been created for the property(ies) selected, as well as the the rating, recommended status, and source of where the review was posted. Currently, only clients that have the Reputation Advisor product will be able to use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	reviews	No Product Requirement			Marketing Strategy Hub	Marketing	
Rolling Renovation Details	This report provides unit-level details of Rolling Renovation type jobs.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	rolling_renovation_details	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Roommate Groups	This report is designed to assist properties in managing resident who want to form a roommate group.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	roommate_groups	No Product Requirement			Resident Operations - Sub-Vertical - Student	Property Ops Experience	
Roommate Interests Responses	The Roommate Interests Responses report will provide you with a viewable/printable list of all active residents and leads and their application preference questions and responses that would be used for roommate matching purposes. This is a useful report for any student properties in conjunction with Bulk Unit Assignments (BUA) and matching students with similar preferences. Currently, only clients that have Entrata Core and Student can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	roommate_interests_responses	Entrata Core			Resident Operations - Sub-Vertical - Student	Property Ops Experience	
RTB Registration Report	This report is meant to track and audit registrations for the Residential Tenancies Board.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	rtb_registration_report	No Product Requirement					
Saved Payment Methods	The Saved Payment Methods report contains datasets to display residents who have saved payment, or refund, methods, as well as those who do not. Resident and payment method details are available for view for those residents who have saved payment methods. Resident details are available for display for those who do not. This report can be used to view saved payment method details, as well as whether or not the payment method has been verified.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	saved_payment_methods_report	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Schedule Charges Verification	Schedule charges verification report	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	schedule_charges_verification	No Product Requirement			Financial Operations - Billing	Property Ops Experience	
Schedule of Values	This report provides a comprehensive list of budget and draw request amounts by job cost code for a job.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Reports	schedule_of_values	Entrata Job Costing			Asset Operations - Budgeting and Job Costing	Property Ops Experience	
Scheduled Charge Approval Routing	The Scheduled Charge Approval Routing report provides high-level information about scheduled charge changes that are pending approval per the approval routing setup.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	scheduled_charge_approval_routing	Entrata Core			Financial Operations - Billing	Property Ops Experience	
Scheduled Charges by Lease	The Scheduled Charges by Lease report provides you with a list of scheduled recurring charges for each listed household, allowing you to validate if the appropriate charges have been set up to bill on a recurring basis.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	scheduled_charges_by_lease	Entrata Core	11-20		Financial Operations - Billing	Property Ops Experience	
Screening Billing Details	The Screening Billing Details report will provide the screen date, type, and amount billed in a summary type report. It will coincide with the bill received from Resident Verify and will be useful when auditing.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	screening_billing_details	No Product Requirement			Resident Verify	Leasing	
Screening Results Summary	The Screening Results Summary Report will show the results of screenings, (pass, fail, pass with conditions), as well as statistics regarding any overrides of a screening result.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	screening_results_summary	No Product Requirement			Resident Verify	Leasing	
Screening Score Analysis	The Screening Score Analysis Report enables you to see the trends in credit and RV index scores of those being screened. Analyzing these trends can help you determine what the best screening threshold criteria for your property is.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	screening_score_analysis	No Product Requirement			Resident Verify	Leasing	
Screening Vendors	The Screening Vendors report is for clients who use a third party screening vendor through Entrata. It will provide the applicant or guarantor name, screening date, result, and screening decision. This report has no product restrictions.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	screening_vendors	No Product Requirement			Resident Verify	Leasing	
Security Deposit Details	The Security Deposit Details report gives a run down of the security deposits for the property and the activity towards the Ledger.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	security_deposit_details	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Services Schedule	The purpose of this report is to support updates to the Services product which, when setup by the property, allows residents to schedule certain services. This report provides both a summary and details pertaining to these scheduled services and helps the property operators track them. For services which the property choose to track completion on, this report will help track which have been completed and which remain incomplete.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	services_schedule	Entrata Core			Asset Operations - Configurations	Property Ops Experience	
Settlement Distributions	The Settlement Distribution report will show all batch payments that have settled into the property's bank account.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Payments	Reports	settlement_distributions	No Product Requirement			Financial Operations - Payments	Property Ops Experience	
Shared User Accounts	The Shared User Accounts report will show a list of users that have shared accounts.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	shared_user_accounts	No Product Requirement			Resident Verify	Leasing	
Site Tablet Usage	The Site Tablet Usage report will help you gauge how well the Site Tablet product is being utilized to perform on-site duties such as: entering leads, creating work orders, and recording packages. Currently, only clients that have site tablet can use this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	site_tablet_usage	SiteTablet			Site Tablet (or Property Ops)	Resident XP	
SMS Message Log	SMS Message Log shows a log of all SMS messages for the selected time period.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	sms_message_log	No Product Requirement			Message Center	Marketing	
Specials	This report provides a detailed view of Property, Unit Type, Floor Plan, and Unit Space specials that have been created within the properties selected. This report also allows you to view which residents and/or prospects that are associated to each special listed. This report will include all types of charges that are associated to any type of special (recurring or one-time).	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	specials	Entrata Core, ProspectPortal, ResidentPortal			Asset Operations - Rates Management	Property Ops Experience	
Statistical Income Statement	The Statistical Income Statement analyzes the income statement balances on a unit basis and also as a percentage of total income. The report also projects annualized balances. The report is useful for analyzing trends over time and projecting future income & expenses.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	statistical_income_statement	Entrata Core			Financial Operations - General Accounting	Property Ops Experience	
Student Turn 	This report will assist properties in managing their turn units with various metrics. This is currently the first iteration of this report, please pass feedback to a support representative to help improve this report.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Operations	Reports	student_turn	Entrata Core, Entrata Student					
Submitted Forms	The Submitted Forms report will list all forms that have been submitted by residents.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	submitted_forms	No Product Requirement			Resident Portal	Resident XP	
Table Logs	The Table Logs report will generate a list of interactions each user had within the selected database table. Not all tables within Entrata are available to be selected as only a specific number of tables are available to be selected. The report will also allow you to view the log as well.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	System	Reports	table_logs	No Product Requirement				N/A	
Texas Household Data	This is the Texas Household Data that is required for quarterly Tax Credit reporting on households for the state of Texas.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Tax Credits	Reports	texas_household_data	Entrata Affordable			Resident Operations - Sub-Vertical - Affordable	Property Ops Experience	
Texas Tenant Data	This is the Texas Household Data that is required for quarterly Tax Credit reporting on the individual household member data for the state of Texas.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Tax Credits	Reports	texas_tenant_data	Entrata Affordable			Resident Operations - Sub-Vertical - Affordable	Property Ops Experience	
Tiered Offers	This report will allow you to see information on your tiered offer templates and information on the profiles that were extended offers from these templates.  It includes information about rent discounts, specials, and gift incentives tied to each offer in order to track who has received which deals.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	tiered_offers	Entrata Core			Asset Operations - Rates Management	Property Ops Experience	
Tiered Renewal Offers	This report assists student properties in tracking their renewal process along with any incentives that have been set up within renewal tiers. The non-consolidated version of the report enables properties to track residents who have accepted renewals and assisting those students who have not yet accepted in showing what their renewal rate and incentive will be based on available tiers. The consolidated version shows a high-level overview of each tier showing average renewal rates and cap information.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	tiered_renewal_offers	No Product Requirement			Asset Operations - Rates Management	Property Ops Experience	
Total Cost By Utility	The Total Cost By Utility report will show the total cost for each utility per property or portfolio.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Utilities	Reports	total_cost_by_utility	Utility Expense Management			Utilities (UEM/UEO/RU)	Tech-Enabled Services	
Total Reach	The Total Reach report shows the total number of recipients the messages can reach (email, SMS, or phone).	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Communications	Reports	total_reach	No Product Requirement			Message Center	Marketing	
Tour Conversion	The Tour Conversion Report allows you to see how well each type of first event converts to a tour, a completed application, and ultimately a lease. Report excludes Other Income profiles.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	tour_conversion	No Product Requirement	21-30		Lead Management	Marketing	
Traffic and Events	The Traffic and Events Report will show the type and amount of traffic for a property, lead source, or leasing agent.	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	Leasing	Reports	traffic_and_events	No Product Requirement	11-20		Lead Management	Marketing	
Transaction Approval	This report will show all transactions that have met the criteria to require approval routing. This will allow regional and corporate level users the ability to audit transactions that require approval and the user that created them in order to avoid unauthorized transactions from being posted.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	transaction_approval	Entrata Core			Financial Operations - Customer Transactions	Property Ops Experience	
Transmissions	Transmissions	Reports (PaaS)	Kolby Henry	#ask-reporting-paas	System	Reports	transmissions	No Product Requirement			Integration enablement: API Framework	Central Services & Data Management Platform	
Trending Delinquency	The purpose of this report is to track Delinquency over the course of a month and then compare to Prior Year data. This report also can be used to track daily allocations and track the number of Delinquent Residents day over day.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	trending_delinquency	Entrata Core			Financial Operations - Revenue Protection	Property Ops Experience	
Trending Occupancy	The Trending Occupancy report outlines occupancy at the beginning of the period and any scheduled move-ins or move-outs within that period, resulting in the projected ending occupancy. Currently, there are no required permissions need to use this report.	Reports (AR & Payments)	Jessica Miller & Aasawari Naigaonkar	#ask-reporting-ar	Operations	Reports	trending_occupancy	No Product Requirement				N/A	
Trial Balance	The Trial Balance provides a listing of all gl accounts, and their debit/credit activity for the reporting period.	Reports (AP GL & Facilities)	Kolby Henry	#ask-reporting-ap	Accounting	Core (AP)	trial_balance	Entrata Core	11-20		Financial Operations - General Accounting	Property Ops Experience	
